TF-IDF_br,TF-IDF_coffee,TF-IDF_flavor,TF-IDF_good,TF-IDF_great,TF-IDF_like,TF-IDF_love,TF-IDF_one,TF-IDF_product,TF-IDF_taste,SentimentScore,HelpfulnessNumerator,HelpfulnessDenominator,Score,Topic_0,Topic_1,Topic_2
0,0,0,0.282511609,0,0.262431956,0,0,0.922668228,0,0.425,1,1,5,0.659816585,0.058913403,0.281270012
0,0,0,0,0,0,0,0,1,0,0.216666667,0,0,1,0.777736848,0.111113299,0.111149854
0,0,0,0,0,0,0,0,0,0,0.187,1,1,4,0.333333333,0.333333333,0.333333333
0,0,0.735332891,0.677706086,0,0,0,0,0,0,0.15,3,3,2,0.11208767,0.576337157,0.311575173
0,0,0,0,1,0,0,0,0,0,0.458333333,0,0,5,0.777616426,0.111214951,0.111168623
0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,4,0.166669266,0.666648725,0.166682009
0,0,0.717052055,0,0.69701962,0,0,0,0,0,0.21,0,0,5,0.442201057,0.446616795,0.111182148
0,0,0.735332891,0.677706086,0,0,0,0,0,0,0.38,0,0,5,0.11208767,0.576337157,0.311575173
0,0,0,0,0,0,1,0,0,0,0.428571429,1,1,5,0.662090791,0.168819321,0.169089887
0,0,0,1,0,0,0,0,0,0,0.4125,0,0,5,0.111988287,0.11586215,0.772149563
0.801321872,0,0,0,0,0,0.493313399,0.244774878,0,0.233688694,0.214166667,1,1,5,0.347874716,0.042494584,0.609630699
0,0,0,0,0,0,0,1,0,0,0.05,4,4,5,0.656545319,0.172018752,0.171435929
0,0,0,0,0,0,0,0,0,0,0.096280992,1,1,1,0.333333333,0.333333333,0.333333333
0,0,0.598552628,0.551645063,0,0,0.580880776,0,0,0,0.58,2,2,4,0.300238146,0.463964067,0.235797787
0,0,0,0,0,0,0,0,0,0,-0.5,4,5,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,1,0,0,0,0.316666667,4,5,5,0.662090791,0.168819321,0.169089887
0,0,0,0.580092456,0,0.538862098,0.610835806,0,0,0,0.4625,0,0,2,0.334503724,0.089365931,0.576130345
0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,5,0.333333333,0.333333333,0.333333333
0.541145535,0,0,0,0,0.440833312,0,0.495901224,0.516632827,0,0.069047619,0,0,5,0.499319688,0.069514196,0.431166115
0,0,0,0,0,0,0,0,0,0,0.225,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,0.4,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0.661545241,0.749905257,0,0,0,0.2125,0,0,5,0.630362243,0.123868834,0.245768923
0,0,0,0,0,0,0,0,1,0,0.125,0,0,5,0.666601677,0.16667014,0.166728183
0,0,0,0,0,0,1,0,0,0,0.25,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0,0,0,0,0,0,0.261904762,0,0,5,0.333333333,0.333333333,0.333333333
0.72329892,0,0,0,0,0,0,0,0.690535062,0,0,0,0,5,0.444019164,0.111147541,0.444833295
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.166669266,0.666648725,0.166682009
0,0,0,0,1,0,0,0,0,0,0.345833333,0,1,4,0.66641047,0.166831542,0.166757988
0,0,0,0,0.710384524,0,0,0.703813774,0,0,0.304166667,0,0,5,0.77468435,0.112753083,0.112562567
0.801321872,0,0,0,0,0,0.493313399,0.244774878,0,0.233688694,0.214166667,1,1,5,0.347874716,0.042494584,0.609630699
0,0.634848429,0,0.478804119,0,0.22238644,0,0.500332913,0.260624894,0,0.20462963,0,0,5,0.351046921,0.406982202,0.241970877
0.439055568,0,0,0,0.812206227,0,0,0,0,0.384124006,0.6,0,1,5,0.465416899,0.067097653,0.467485448
0.242621344,0,0,0.63830782,0.224411875,0.197646592,0,0.222336162,0.463262257,0.424532517,0.251944444,19,19,4,0.361364268,0.028727762,0.60990797
0,0,0.432640013,0.797469483,0.420553258,0,0,0,0,0,0.396666667,13,13,4,0.274666186,0.338680533,0.386653281
0.611478567,0,0.581840235,0.536242392,0,0,0,0,0,0,0.308333333,9,9,5,0.083644601,0.366581556,0.549773843
